Game,League,League_Week,Event ID,Date,Team A,Score,Team B
Football League,England,Week 15,#485401,02/11/2024 10:13,CHE,4 : 0,BOU
Football League,England,Week 15,#485402,02/11/2024 10:13,LIV,1 : 1,ARS
Football League,England,Week 15,#485403,02/11/2024 10:13,FUL,0 : 4,FOR
Football League,England,Week 15,#485404,02/11/2024 10:13,WOL,2 : 1,MCI
Football League,England,Week 15,#485405,02/11/2024 10:13,LEI,4 : 1,SOU
Football League,England,Week 15,#485406,02/11/2024 10:13,MUN,1 : 1,WHU
Football League,England,Week 15,#485407,02/11/2024 10:13,BRN,0 : 3,TOT
Football League,England,Week 15,#485408,02/11/2024 10:13,AST,3 : 1,EVE
Football League,England,Week 15,#485409,02/11/2024 10:13,CRY,4 : 1,NEW
Football League,England,Week 15,#485410,02/11/2024 10:13,IPS,3 : 2,BHA
Football League,England,Week 14,#485391,02/11/2024 10:10,WOL,3 : 0,IPS
Football League,England,Week 14,#485392,02/11/2024 10:10,FOR,1 : 0,LIV
Football League,England,Week 14,#485393,02/11/2024 10:10,BHA,1 : 1,AST
Football League,England,Week 14,#485394,02/11/2024 10:10,WHU,1 : 3,BRN
Football League,England,Week 14,#485395,02/11/2024 10:10,EVE,2 : 1,FUL
Football League,England,Week 14,#485396,02/11/2024 10:10,SOU,1 : 1,TOT
Football League,England,Week 14,#485397,02/11/2024 10:10,BOU,3 : 1,MUN
Football League,England,Week 14,#485398,02/11/2024 10:10,MCI,2 : 1,CRY
Football League,England,Week 14,#485399,02/11/2024 10:10,NEW,2 : 0,CHE
Football League,England,Week 14,#485400,02/11/2024 10:10,ARS,2 : 1,LEI
Football League,England,Week 13,#485381,02/11/2024 10:07,MUN,1 : 2,NEW
Football League,England,Week 13,#485382,02/11/2024 10:07,AST,1 : 1,WOL
Football League,England,Week 13,#485383,02/11/2024 10:07,ARS,3 : 3,SOU
Football League,England,Week 13,#485384,02/11/2024 10:07,TOT,1 : 0,WHU
Football League,England,Week 13,#485385,02/11/2024 10:07,FUL,2 : 1,BHA
Football League,England,Week 13,#485386,02/11/2024 10:07,CRY,4 : 0,IPS
Football League,England,Week 13,#485387,02/11/2024 10:07,LIV,2 : 1,EVE
Football League,England,Week 13,#485388,02/11/2024 10:07,CHE,1 : 0,MCI
Football League,England,Week 13,#485389,02/11/2024 10:07,LEI,0 : 2,FOR
Football League,England,Week 13,#485390,02/11/2024 10:07,BRN,2 : 1,BOU
Football League,England,Week 12,#485371,02/11/2024 10:04,MCI,0 : 4,MUN
Football League,England,Week 12,#485372,02/11/2024 10:04,IPS,1 : 0,CHE
Football League,England,Week 12,#485373,02/11/2024 10:04,BOU,1 : 2,TOT
Football League,England,Week 12,#485374,02/11/2024 10:04,EVE,0 : 3,LEI
Football League,England,Week 12,#485375,02/11/2024 10:04,SOU,0 : 1,WHU
Football League,England,Week 12,#485376,02/11/2024 10:04,CRY,2 : 2,AST
Football League,England,Week 12,#485377,02/11/2024 10:04,NEW,2 : 0,BRN
Football League,England,Week 12,#485378,02/11/2024 10:04,FOR,1 : 1,ARS
Football League,England,Week 12,#485379,02/11/2024 10:04,WOL,3 : 2,FUL
