Game,League,League_Week,Event ID,Date,Team A,Score,Team B
Football League,France,Week 8,#437338,02/11/2024 12:50,MNT,1 : 1,LYO
Football League,France,Week 8,#437339,02/11/2024 12:50,NIC,0 : 2,STR
Football League,France,Week 8,#437340,02/11/2024 12:50,REI,0 : 0,STE
Football League,France,Week 8,#437341,02/11/2024 12:50,PSG,1 : 0,ANG
Football League,France,Week 8,#437342,02/11/2024 12:50,TOU,2 : 2,AXR
Football League,France,Week 8,#437343,02/11/2024 12:50,LNS,1 : 1,NAN
Football League,France,Week 8,#437344,02/11/2024 12:50,LEH,1 : 5,MRS
Football League,France,Week 8,#437345,02/11/2024 12:50,SBR,2 : 3,MON
Football League,France,Week 8,#437346,02/11/2024 12:50,REN,0 : 2,LIL
Football League,France,Week 7,#437329,02/11/2024 12:47,LEH,0 : 2,REN
Football League,France,Week 7,#437330,02/11/2024 12:47,NAN,1 : 2,MNT
Football League,France,Week 7,#437331,02/11/2024 12:47,STE,1 : 0,TOU
Football League,France,Week 7,#437332,02/11/2024 12:47,LYO,0 : 0,NIC
Football League,France,Week 7,#437333,02/11/2024 12:47,AXR,1 : 1,STR
Football League,France,Week 7,#437334,02/11/2024 12:47,MRS,1 : 0,SBR
Football League,France,Week 7,#437335,02/11/2024 12:47,ANG,1 : 2,LNS
Football League,France,Week 7,#437336,02/11/2024 12:47,LIL,0 : 2,PSG
Football League,France,Week 7,#437337,02/11/2024 12:47,MON,2 : 1,REI
Football League,France,Week 6,#437320,02/11/2024 12:44,AXR,0 : 4,LYO
Football League,France,Week 6,#437321,02/11/2024 12:44,STR,2 : 0,STE
Football League,France,Week 6,#437322,02/11/2024 12:44,LNS,1 : 0,LIL
Football League,France,Week 6,#437323,02/11/2024 12:44,REN,2 : 0,PSG
Football League,France,Week 6,#437324,02/11/2024 12:44,SBR,1 : 0,LEH
Football League,France,Week 6,#437325,02/11/2024 12:44,TOU,2 : 1,MON
Football League,France,Week 6,#437326,02/11/2024 12:44,MNT,1 : 3,ANG
Football League,France,Week 6,#437327,02/11/2024 12:44,REI,1 : 0,MRS
Football League,France,Week 6,#437328,02/11/2024 12:44,NIC,2 : 0,NAN
Football League,France,Week 5,#437311,02/11/2024 12:41,MRS,0 : 1,TOU
Football League,France,Week 5,#437312,02/11/2024 12:41,LEH,0 : 2,REI
Football League,France,Week 5,#437313,02/11/2024 12:41,SBR,0 : 2,REN
Football League,France,Week 5,#437314,02/11/2024 12:41,NAN,1 : 3,AXR
Football League,France,Week 5,#437315,02/11/2024 12:41,ANG,0 : 0,NIC
Football League,France,Week 5,#437316,02/11/2024 12:41,MON,2 : 0,STR
