Game,League,League_Week,Event ID,Date,Team A,Score,Team B
Football League,Germany,Week 13,#437689,02/11/2024 15:24,HDH,1 : 0,MGB
Football League,Germany,Week 13,#437690,02/11/2024 15:24,HOF,3 : 0,BVB
Football League,Germany,Week 13,#437691,02/11/2024 15:24,WLF,0 : 3,STU
Football League,Germany,Week 13,#437692,02/11/2024 15:24,AUG,1 : 1,UBE
Football League,Germany,Week 13,#437693,02/11/2024 15:24,LEV,1 : 0,FRA
Football League,Germany,Week 13,#437694,02/11/2024 15:24,BRE,0 : 2,MNZ
Football League,Germany,Week 13,#437695,02/11/2024 15:24,KIE,0 : 1,BMU
Football League,Germany,Week 13,#437696,02/11/2024 15:24,BOC,1 : 2,RBL
Football League,Germany,Week 13,#437697,02/11/2024 15:24,STP,1 : 0,FRE
Football League,Germany,Week 12,#437680,02/11/2024 15:21,MNZ,1 : 3,RBL
Football League,Germany,Week 12,#437681,02/11/2024 15:21,BVB,1 : 1,AUG
Football League,Germany,Week 12,#437682,02/11/2024 15:21,MGB,2 : 3,BRE
Football League,Germany,Week 12,#437683,02/11/2024 15:21,FRA,1 : 2,WLF
Football League,Germany,Week 12,#437684,02/11/2024 15:21,BMU,5 : 0,BOC
Football League,Germany,Week 12,#437685,02/11/2024 15:21,FRE,0 : 1,LEV
Football League,Germany,Week 12,#437686,02/11/2024 15:21,UBE,2 : 0,KIE
Football League,Germany,Week 12,#437687,02/11/2024 15:21,STU,3 : 2,HDH
Football League,Germany,Week 12,#437688,02/11/2024 15:21,STP,1 : 0,HOF
Football League,Germany,Week 11,#437671,02/11/2024 15:18,WLF,2 : 1,FRE
Football League,Germany,Week 11,#437672,02/11/2024 15:18,BRE,0 : 1,STU
Football League,Germany,Week 11,#437673,02/11/2024 15:18,HDH,2 : 4,FRA
Football League,Germany,Week 11,#437674,02/11/2024 15:18,MGB,1 : 1,MNZ
Football League,Germany,Week 11,#437675,02/11/2024 15:18,LEV,1 : 1,HOF
Football League,Germany,Week 11,#437676,02/11/2024 15:18,RBL,0 : 0,BMU
Football League,Germany,Week 11,#437677,02/11/2024 15:18,BOC,3 : 0,UBE
Football League,Germany,Week 11,#437678,02/11/2024 15:18,KIE,0 : 3,BVB
Football League,Germany,Week 11,#437679,02/11/2024 15:18,AUG,1 : 0,STP
Football League,Germany,Week 10,#437662,02/11/2024 15:15,UBE,3 : 1,RBL
Football League,Germany,Week 10,#437663,02/11/2024 15:15,MNZ,0 : 2,BMU
Football League,Germany,Week 10,#437664,02/11/2024 15:15,HOF,2 : 2,WLF
Football League,Germany,Week 10,#437665,02/11/2024 15:15,BVB,1 : 0,BOC
Football League,Germany,Week 10,#437666,02/11/2024 15:15,LEV,1 : 1,AUG
Football League,Germany,Week 10,#437667,02/11/2024 15:15,FRE,2 : 0,HDH
Football League,Germany,Week 10,#437668,02/11/2024 15:15,STP,1 : 1,KIE
Football League,Germany,Week 10,#437669,02/11/2024 15:15,STU,0 : 3,MGB
Football League,Germany,Week 10,#437670,02/11/2024 15:15,FRA,2 : 1,BRE
Football League,Germany,Week 9,#437653,02/11/2024 15:12,KIE,1 : 1,LEV
Football League,Germany,Week 9,#437654,02/11/2024 15:12,WLF,1 : 3,AUG
Football League,Germany,Week 9,#437655,02/11/2024 15:12,BMU,1 : 1,UBE
Football League,Germany,Week 9,#437656,02/11/2024 15:12,MGB,0 : 2,FRA
Football League,Germany,Week 9,#437657,02/11/2024 15:12,RBL,2 : 1,BVB
Football League,Germany,Week 9,#437658,02/11/2024 15:12,BRE,5 : 0,FRE
Football League,Germany,Week 9,#437659,02/11/2024 15:12,HDH,4 : 1,HOF
Football League,Germany,Week 9,#437660,02/11/2024 15:12,BOC,1 : 1,STP
Football League,Germany,Week 9,#437661,02/11/2024 15:12,STU,1 : 1,MNZ
Football League,Germany,Week 8,#437644,02/11/2024 15:09,LEV,3 : 2,BOC
Football League,Germany,Week 8,#437645,02/11/2024 15:09,HOF,0 : 0,BRE
Football League,Germany,Week 8,#437646,02/11/2024 15:09,FRE,2 : 1,MGB
Football League,Germany,Week 8,#437647,02/11/2024 15:09,WLF,2 : 1,KIE
Football League,Germany,Week 8,#437648,02/11/2024 15:09,STP,1 : 1,RBL
Football League,Germany,Week 8,#437649,02/11/2024 15:09,FRA,1 : 2,STU
Football League,Germany,Week 8,#437650,02/11/2024 15:09,AUG,0 : 0,HDH
Football League,Germany,Week 8,#437651,02/11/2024 15:09,BVB,2 : 1,BMU
Football League,Germany,Week 8,#437652,02/11/2024 15:09,MNZ,2 : 1,UBE
Football League,Germany,Week 7,#437635,02/11/2024 15:06,BMU,4 : 1,STP
Football League,Germany,Week 7,#437636,02/11/2024 15:06,FRA,0 : 2,MNZ
Football League,Germany,Week 7,#437637,02/11/2024 15:06,BRE,4 : 0,AUG
Football League,Germany,Week 7,#437638,02/11/2024 15:06,RBL,3 : 3,LEV
Football League,Germany,Week 7,#437639,02/11/2024 15:06,BOC,0 : 0,WLF
Football League,Germany,Week 7,#437640,02/11/2024 15:06,STU,2 : 0,FRE
