Game,League,League_Week,Event ID,Date,Team A,Score,Team B
Football League,Italy,Week 10,#486871,02/11/2024 17:33,MNZ,1 : 3,COM
Football League,Italy,Week 10,#486872,02/11/2024 17:33,GEN,2 : 3,EMP
Football League,Italy,Week 10,#486873,02/11/2024 17:33,LAZ,2 : 1,MIL
Football League,Italy,Week 10,#486874,02/11/2024 17:33,VER,1 : 1,UDI
Football League,Italy,Week 10,#486875,02/11/2024 17:33,CAG,1 : 0,LEC
Football League,Italy,Week 10,#486876,02/11/2024 17:33,BOL,2 : 1,ATA
Football League,Italy,Week 10,#486877,02/11/2024 17:33,INT,0 : 0,TOR
Football League,Italy,Week 10,#486878,02/11/2024 17:33,ROM,4 : 1,PAR
Football League,Italy,Week 10,#486879,02/11/2024 17:33,FIO,1 : 0,VEN
Football League,Italy,Week 10,#486880,02/11/2024 17:33,NAP,0 : 1,JUV
Football League,Italy,Week 9,#486861,02/11/2024 17:30,LEC,1 : 1,UDI
Football League,Italy,Week 9,#486862,02/11/2024 17:30,TOR,3 : 2,NAP
Football League,Italy,Week 9,#486863,02/11/2024 17:30,JUV,3 : 2,VER
Football League,Italy,Week 9,#486864,02/11/2024 17:30,MNZ,2 : 0,FIO
Football League,Italy,Week 9,#486865,02/11/2024 17:30,PAR,0 : 1,INT
Football League,Italy,Week 9,#486866,02/11/2024 17:30,VEN,1 : 1,GEN
Football League,Italy,Week 9,#486867,02/11/2024 17:30,COM,0 : 1,ROM
Football League,Italy,Week 9,#486868,02/11/2024 17:30,ATA,3 : 2,LAZ
Football League,Italy,Week 9,#486869,02/11/2024 17:30,MIL,2 : 1,CAG
Football League,Italy,Week 9,#486870,02/11/2024 17:30,EMP,0 : 1,BOL
Football League,Italy,Week 8,#486851,02/11/2024 17:27,INT,1 : 0,COM
Football League,Italy,Week 8,#486852,02/11/2024 17:27,UDI,0 : 2,MIL
Football League,Italy,Week 8,#486853,02/11/2024 17:27,FIO,3 : 1,GEN
Football League,Italy,Week 8,#486854,02/11/2024 17:27,VER,3 : 0,TOR
Football League,Italy,Week 8,#486855,02/11/2024 17:27,LAZ,1 : 3,EMP
Football League,Italy,Week 8,#486856,02/11/2024 17:27,LEC,1 : 2,JUV
Football League,Italy,Week 8,#486857,02/11/2024 17:27,CAG,1 : 1,ATA
Football League,Italy,Week 8,#486858,02/11/2024 17:27,BOL,3 : 1,VEN
Football League,Italy,Week 8,#486859,02/11/2024 17:27,NAP,2 : 3,PAR
Football League,Italy,Week 8,#486860,02/11/2024 17:27,ROM,1 : 2,MNZ
Football League,Italy,Week 7,#486841,02/11/2024 17:24,ROM,0 : 1,FIO
Football League,Italy,Week 7,#486842,02/11/2024 17:24,COM,1 : 2,NAP
Football League,Italy,Week 7,#486843,02/11/2024 17:24,GEN,0 : 0,BOL
Football League,Italy,Week 7,#486844,02/11/2024 17:24,VEN,1 : 1,LAZ
Football League,Italy,Week 7,#486845,02/11/2024 17:24,TOR,2 : 1,LEC
Football League,Italy,Week 7,#486846,02/11/2024 17:24,MIL,1 : 2,JUV
Football League,Italy,Week 7,#486847,02/11/2024 17:24,EMP,0 : 2,CAG
Football League,Italy,Week 7,#486848,02/11/2024 17:24,ATA,2 : 0,UDI
Football League,Italy,Week 7,#486849,02/11/2024 17:24,PAR,2 : 2,VER
Football League,Italy,Week 7,#486850,02/11/2024 17:24,MNZ,3 : 1,INT
Football League,Italy,Week 6,#486831,02/11/2024 17:21,VER,2 : 2,COM
Football League,Italy,Week 6,#486832,02/11/2024 17:21,NAP,4 : 0,MNZ
