Game,League,League_Week,Event ID,Date,Team A,Score,Team B
Football League,Spain,Week 22,#485091,02/11/2024 08:38,RMA,1 : 5,VLL
Football League,Spain,Week 22,#485092,02/11/2024 08:38,LEG,0 : 0,RSO
Football League,Spain,Week 22,#485093,02/11/2024 08:38,GIR,1 : 1,RAY
Football League,Spain,Week 22,#485094,02/11/2024 08:38,VAL,1 : 3,BAR
Football League,Spain,Week 22,#485095,02/11/2024 08:38,ALA,4 : 1,SEV
Football League,Spain,Week 22,#485096,02/11/2024 08:38,VIL,0 : 0,LPA
Football League,Spain,Week 22,#485097,02/11/2024 08:38,CEL,0 : 2,ATH
Football League,Spain,Week 22,#485098,02/11/2024 08:38,GET,0 : 1,BET
Football League,Spain,Week 22,#485099,02/11/2024 08:38,MLL,0 : 1,ATM
Football League,Spain,Week 22,#485100,02/11/2024 08:38,ESP,0 : 0,OSA
Football League,Spain,Week 21,#485081,02/11/2024 08:35,OSA,1 : 1,CEL
Football League,Spain,Week 21,#485082,02/11/2024 08:35,BAR,2 : 2,VIL
Football League,Spain,Week 21,#485083,02/11/2024 08:35,BET,2 : 0,ALA
Football League,Spain,Week 21,#485084,02/11/2024 08:35,VLL,0 : 2,MLL
Football League,Spain,Week 21,#485085,02/11/2024 08:35,RAY,0 : 1,SEV
Football League,Spain,Week 21,#485086,02/11/2024 08:35,ATM,5 : 0,ESP
Football League,Spain,Week 21,#485087,02/11/2024 08:35,RSO,1 : 2,VAL
Football League,Spain,Week 21,#485088,02/11/2024 08:35,LEG,1 : 2,RMA
Football League,Spain,Week 21,#485089,02/11/2024 08:35,ATH,2 : 1,GIR
Football League,Spain,Week 21,#485090,02/11/2024 08:35,LPA,0 : 1,GET
Football League,Spain,Week 20,#485071,02/11/2024 08:32,VAL,1 : 0,LEG
Football League,Spain,Week 20,#485072,02/11/2024 08:32,GIR,2 : 1,OSA
Football League,Spain,Week 20,#485073,02/11/2024 08:32,GET,0 : 1,BAR
Football League,Spain,Week 20,#485074,02/11/2024 08:32,RMA,2 : 1,MLL
Football League,Spain,Week 20,#485075,02/11/2024 08:32,SEV,1 : 1,ATH
Football League,Spain,Week 20,#485076,02/11/2024 08:32,ALA,1 : 0,LPA
Football League,Spain,Week 20,#485077,02/11/2024 08:32,ESP,2 : 0,VLL
Football League,Spain,Week 20,#485078,02/11/2024 08:32,VIL,2 : 0,RSO
Football League,Spain,Week 20,#485079,02/11/2024 08:32,CEL,0 : 1,ATM
Football League,Spain,Week 20,#485080,02/11/2024 08:32,RAY,2 : 4,BET
Football League,Spain,Week 19,#485061,02/11/2024 08:29,MLL,0 : 1,ESP
Football League,Spain,Week 19,#485062,02/11/2024 08:29,BAR,3 : 1,ALA
Football League,Spain,Week 19,#485063,02/11/2024 08:29,LEG,0 : 1,VIL
Football League,Spain,Week 19,#485064,02/11/2024 08:29,RSO,2 : 1,GET
Football League,Spain,Week 19,#485065,02/11/2024 08:29,ATM,3 : 1,GIR
Football League,Spain,Week 19,#485066,02/11/2024 08:29,VAL,2 : 4,RMA
Football League,Spain,Week 19,#485067,02/11/2024 08:29,OSA,2 : 2,SEV
Football League,Spain,Week 19,#485068,02/11/2024 08:29,LPA,1 : 2,RAY
Football League,Spain,Week 19,#485069,02/11/2024 08:29,VLL,1 : 0,CEL
Football League,Spain,Week 19,#485070,02/11/2024 08:29,ATH,1 : 0,BET
Football League,Spain,Week 18,#485051,02/11/2024 08:26,GET,1 : 0,LEG
Football League,Spain,Week 18,#485052,02/11/2024 08:26,ALA,0 : 0,RSO
Football League,Spain,Week 18,#485053,02/11/2024 08:26,CEL,3 : 0,MLL
Football League,Spain,Week 18,#485054,02/11/2024 08:26,SEV,1 : 0,ATM
Football League,Spain,Week 18,#485055,02/11/2024 08:26,RMA,0 : 2,ESP
Football League,Spain,Week 18,#485056,02/11/2024 08:26,VIL,3 : 1,VAL
Football League,Spain,Week 18,#485057,02/11/2024 08:26,ATH,1 : 0,LPA
Football League,Spain,Week 18,#485058,02/11/2024 08:26,GIR,1 : 0,VLL
Football League,Spain,Week 18,#485059,02/11/2024 08:26,BET,4 : 0,OSA
Football League,Spain,Week 18,#485060,02/11/2024 08:26,RAY,0 : 2,BAR
Football League,Spain,Week 17,#485041,02/11/2024 08:23,MLL,1 : 0,GIR
Football League,Spain,Week 17,#485042,02/11/2024 08:23,VAL,0 : 0,GET
Football League,Spain,Week 17,#485043,02/11/2024 08:23,VIL,1 : 4,RMA
Football League,Spain,Week 17,#485044,02/11/2024 08:23,VLL,2 : 1,SEV
Football League,Spain,Week 17,#485045,02/11/2024 08:23,ESP,2 : 1,CEL
Football League,Spain,Week 17,#485046,02/11/2024 08:23,BAR,1 : 3,ATH
Football League,Spain,Week 17,#485047,02/11/2024 08:23,LEG,2 : 2,ALA
Football League,Spain,Week 17,#485048,02/11/2024 08:23,ATM,2 : 1,BET
Football League,Spain,Week 17,#485049,02/11/2024 08:23,RSO,0 : 1,RAY
Football League,Spain,Week 17,#485050,02/11/2024 08:23,OSA,1 : 0,LPA
Football League,Spain,Week 16,#485031,02/11/2024 08:20,BET,1 : 0,VLL
Football League,Spain,Week 16,#485032,02/11/2024 08:20,RAY,3 : 0,LEG
Football League,Spain,Week 16,#485033,02/11/2024 08:20,OSA,0 : 2,BAR
Football League,Spain,Week 16,#485034,02/11/2024 08:20,LPA,0 : 3,ATM
Football League,Spain,Week 16,#485035,02/11/2024 08:20,ATH,1 : 1,RSO
Football League,Spain,Week 16,#485036,02/11/2024 08:20,RMA,3 : 1,CEL
Football League,Spain,Week 16,#485037,02/11/2024 08:20,GET,0 : 2,VIL
Football League,Spain,Week 16,#485038,02/11/2024 08:20,GIR,5 : 0,ESP
Football League,Spain,Week 16,#485039,02/11/2024 08:20,SEV,0 : 0,MLL
Football League,Spain,Week 16,#485040,02/11/2024 08:20,ALA,1 : 1,VAL
Football League,Spain,Week 15,#485021,02/11/2024 08:17,GET,0 : 2,RMA
Football League,Spain,Week 15,#485022,02/11/2024 08:17,CEL,3 : 2,GIR
Football League,Spain,Week 15,#485023,02/11/2024 08:17,VAL,3 : 0,RAY
Football League,Spain,Week 15,#485024,02/11/2024 08:17,VLL,1 : 1,LPA
Football League,Spain,Week 15,#485025,02/11/2024 08:17,MLL,1 : 1,BET
Football League,Spain,Week 15,#485026,02/11/2024 08:17,ATM,0 : 2,BAR
Football League,Spain,Week 15,#485027,02/11/2024 08:17,VIL,1 : 1,ALA
Football League,Spain,Week 15,#485028,02/11/2024 08:17,ESP,0 : 3,SEV
Football League,Spain,Week 15,#485029,02/11/2024 08:17,RSO,1 : 0,OSA
Football League,Spain,Week 15,#485030,02/11/2024 08:17,LEG,1 : 5,ATH
Football League,Spain,Week 14,#485011,02/11/2024 08:14,ATH,0 : 2,VAL
Football League,Spain,Week 14,#485012,02/11/2024 08:14,RMA,1 : 1,GIR
Football League,Spain,Week 14,#485013,02/11/2024 08:14,BET,2 : 0,ESP
Football League,Spain,Week 14,#485014,02/11/2024 08:14,ATM,0 : 0,RSO
Football League,Spain,Week 14,#485015,02/11/2024 08:14,ALA,2 : 1,GET
Football League,Spain,Week 14,#485016,02/11/2024 08:14,SEV,2 : 0,CEL
Football League,Spain,Week 14,#485017,02/11/2024 08:14,LPA,3 : 2,MLL
Football League,Spain,Week 14,#485018,02/11/2024 08:14,RAY,0 : 2,VIL
Football League,Spain,Week 14,#485019,02/11/2024 08:14,BAR,2 : 2,VLL
Football League,Spain,Week 14,#485020,02/11/2024 08:14,OSA,1 : 3,LEG
Football League,Spain,Week 13,#485001,02/11/2024 08:11,VIL,1 : 1,ATH
Football League,Spain,Week 13,#485002,02/11/2024 08:11,LEG,2 : 1,ATM
Football League,Spain,Week 13,#485003,02/11/2024 08:11,ALA,1 : 1,RMA
Football League,Spain,Week 13,#485004,02/11/2024 08:11,ESP,0 : 0,LPA
Football League,Spain,Week 13,#485005,02/11/2024 08:11,CEL,0 : 2,BET
Football League,Spain,Week 13,#485006,02/11/2024 08:11,VLL,1 : 1,RSO
Football League,Spain,Week 13,#485007,02/11/2024 08:11,GET,1 : 1,RAY
Football League,Spain,Week 13,#485008,02/11/2024 08:11,GIR,2 : 2,SEV
Football League,Spain,Week 13,#485009,02/11/2024 08:11,MLL,1 : 0,BAR
Football League,Spain,Week 13,#485010,02/11/2024 08:11,VAL,1 : 1,OSA
Football League,Spain,Week 12,#484991,02/11/2024 08:08,ATH,4 : 0,GET
Football League,Spain,Week 12,#484992,02/11/2024 08:08,VLL,1 : 3,LEG
Football League,Spain,Week 12,#484993,02/11/2024 08:08,RSO,3 : 0,MLL
Football League,Spain,Week 12,#484994,02/11/2024 08:08,ATM,1 : 2,VAL
Football League,Spain,Week 12,#484995,02/11/2024 08:08,LPA,0 : 1,CEL
Football League,Spain,Week 12,#484996,02/11/2024 08:08,OSA,3 : 1,VIL
Football League,Spain,Week 12,#484997,02/11/2024 08:08,RMA,3 : 0,SEV
Football League,Spain,Week 12,#484998,02/11/2024 08:08,BAR,3 : 2,ESP
Football League,Spain,Week 12,#484999,02/11/2024 08:08,BET,1 : 2,GIR
Football League,Spain,Week 12,#485000,02/11/2024 08:08,RAY,1 : 0,ALA
Football League,Spain,Week 11,#484981,02/11/2024 08:05,ALA,0 : 1,ATH
Football League,Spain,Week 11,#484982,02/11/2024 08:05,VIL,1 : 3,ATM
Football League,Spain,Week 11,#484983,02/11/2024 08:05,ESP,3 : 1,RSO
Football League,Spain,Week 11,#484984,02/11/2024 08:05,VAL,1 : 2,VLL
Football League,Spain,Week 11,#484985,02/11/2024 08:05,MLL,1 : 2,LEG
Football League,Spain,Week 11,#484986,02/11/2024 08:05,SEV,1 : 0,BET
Football League,Spain,Week 11,#484987,02/11/2024 08:05,GET,2 : 0,OSA
Football League,Spain,Week 11,#484988,02/11/2024 08:05,CEL,0 : 1,BAR
Football League,Spain,Week 11,#484989,02/11/2024 08:05,RAY,1 : 2,RMA
Football League,Spain,Week 11,#484990,02/11/2024 08:05,GIR,2 : 0,LPA
Football League,Spain,Week 10,#484971,02/11/2024 08:02,RSO,1 : 1,CEL
Football League,Spain,Week 10,#484972,02/11/2024 08:02,VLL,3 : 0,VIL
Football League,Spain,Week 10,#484973,02/11/2024 08:02,OSA,2 : 0,ALA
Football League,Spain,Week 10,#484974,02/11/2024 08:02,RMA,1 : 2,BET
